,DEPT,CALI,BS,hole enlarged,GR,NPHS,PE,RT20,RT30,RT60,RT90,RXO,RT10,RHOB (kg/m3),Bulk_Density_gm/cm3,NN_predicted_Density,xgb_pred_Density
716,3110.6,221.7912,222,-0.21,92.7576,0.0882,3.1626,46.5811,45.1865,43.8604,45.373,49.261,49.0873,2625.7371,2.6257371,2.650822546,2.6298008
717,3110.7,221.9465,222,-0.05,93.96,0.0858,3.1733,43.9611,42.6717,41.4523,42.8054,46.4878,46.3097,2636.2043,2.6362043,2.652630336,2.6637337
718,3110.8,221.7884,222,-0.21,95.8377,0.0878,3.184,41.7364,40.5277,39.3972,40.6208,44.1225,43.9497,2640.0271,2.6400271,2.651973343,2.6428049
719,3110.9,222.0688,222,0.07,97.3953,0.0882,3.2029,40.0617,38.9038,37.8361,38.9652,42.3369,42.1763,2640.1919,2.6401919,2.648165462,2.6411781
720,3111,221.9359,222,-0.06,97.2079,0.0937,3.2099,39.0067,37.8269,36.7752,37.8385,41.2245,41.1031,2638.8042,2.6388042,2.653655935,2.6463032
721,3111.1,222.0728,222,0.07,96.2749,0.098,3.1989,40.047,38.7633,37.641,38.7502,42.4068,42.2888,2642.02,2.64202,2.647854369,2.6513484
722,3111.2,221.865,222,-0.13,93.7726,0.0992,3.1792,42.3844,40.9053,39.6392,40.8616,45.0962,44.9388,2645.5818,2.6455818,2.641417468,2.6390235
723,3111.3,221.8855,222,-0.11,85.5981,0.0982,3.1619,50.5018,48.3097,46.5137,48.1753,54.776,54.3238,2649.0693,2.6490693,2.625358287,2.645424
724,3111.4,221.9883,222,-0.01,80.0235,0.0975,3.1735,54.8211,52.2057,50.0983,52.0228,60.0982,59.4607,2647.3618,2.6473618,2.622608749,2.6338975
725,3111.5,221.9839,222,-0.02,77.0293,0.0962,3.2102,57.2664,54.3961,52.0983,54.1903,63.1349,62.4487,2645.0156,2.6450156,2.623889972,2.6201348
726,3111.6,222.0907,222,0.09,77.7749,0.0924,3.3085,52.6939,50.2961,48.3109,50.1696,57.4564,57.0841,2636.9011,2.6369011,2.644456644,2.6617196
727,3111.7,222.2908,222,0.29,82.2369,0.0902,3.3479,47.9431,46.0042,44.3401,45.9423,51.7524,51.4785,2637.9883,2.6379883,2.635754193,2.6760945
728,3111.8,222.3323,222,0.33,87.5305,0.0882,3.3574,44.013,42.4357,41.0257,42.4285,47.1031,46.8654,2642.0154,2.6420154,2.627193979,2.659602
729,3111.9,222.2933,222,0.29,94.3191,0.0875,3.3357,41.7812,40.4835,39.2388,40.564,44.3114,44.0762,2658.6997,2.6586997,2.631194245,2.670468
730,3112,222.0875,222,0.09,93.6125,0.0878,3.3065,43.8153,42.4494,41.1168,42.5839,46.4465,46.1983,2663.6108,2.6636108,2.643063977,2.6596332
731,3112.1,222.1655,222,0.17,91.3288,0.0823,3.286,47.8249,46.2548,44.7247,46.4673,50.8017,50.5199,2668.8403,2.6688403,2.64557675,2.6438196
732,3112.2,222.0506,222,0.05,84.8759,0.0688,3.2521,60.0807,57.6988,55.5102,58.1917,64.4216,64.0054,2675.9294,2.6759294,2.671616162,2.673873
733,3112.3,222.0227,222,0.02,83.3651,0.0664,3.2539,66.9804,64.0358,61.4667,64.7436,72.2177,71.7313,2677.9749,2.6779749,2.681534591,2.6684675
734,3112.4,221.963,222,-0.04,81.831,0.0664,3.2517,73.7956,70.2154,67.2797,71.1864,80.0218,79.4773,2675.0767,2.6750767,2.683858786,2.678393
735,3112.5,222.0087,222,0.01,80.1719,0.0669,3.2457,80.9813,76.6413,73.3265,77.9362,88.4472,87.8337,2670.2722,2.6702722,2.688435316,2.680735
736,3112.6,222.7123,222,0.71,72.8718,0.0682,3.192,99.2097,92.5788,88.2761,94.8412,111.1492,110.1834,2662.262,2.662262,2.683594696,2.675116
737,3112.7,222.481,222,0.48,70.7637,0.066,3.17,109.0566,101.0051,96.1829,103.9005,124.2924,122.9959,2665.3044,2.6653044,2.68744382,2.6826935
738,3112.8,222.3586,222,0.36,69.9518,0.0641,3.1579,115.9442,106.8336,101.73,110.2757,134.2408,132.574,2670.2776,2.6702776,2.694496718,2.6880069
739,3112.9,222.4007,222,0.4,74.566,0.0644,3.168,110.18,102.0752,97.8017,105.5353,127.0961,125.4067,2689.239,2.689239,2.699033254,2.683647
740,3113,222.1468,222,0.15,76.6624,0.0669,3.1742,99.1622,92.685,89.2626,95.633,112.5322,111.3194,2696.5815,2.6965815,2.691719061,2.686892
741,3113.1,222.2777,222,0.28,78.9812,0.0731,3.2015,87.1725,82.2596,79.6289,84.6423,97.0506,96.3499,2704.929,2.704929,2.677491164,2.680816
742,3113.2,222.1229,222,0.12,87.3001,0.0842,3.3375,69.0182,66.0732,64.4531,67.6671,74.6155,74.475,2713.4897,2.7134897,2.688100784,2.7037413
743,3113.3,222.1714,222,0.17,93.8546,0.0897,3.4336,64.0596,61.5688,60.1951,62.9685,68.7104,68.6728,2712.0227,2.7120227,2.694014785,2.7085042
744,3113.4,222.2915,222,0.29,100.7174,0.0975,3.4981,61.416,59.1537,57.9151,60.4543,65.6026,65.6145,2702.4363,2.7024363,2.698903311,2.6911259
745,3113.5,222.1488,222,0.15,110.0162,0.107,3.4957,60.254,58.0861,56.9399,59.339,64.2381,64.2756,2685.8865,2.6858865,2.691891733,2.6814394
746,3113.6,222.4505,222,0.45,110.9141,0.1078,3.4669,60.6425,58.4351,57.2933,59.6935,64.6808,64.7096,2681.0173,2.6810173,2.687994355,2.6815045
747,3113.7,222.0696,222,0.07,110.0435,0.1079,3.4653,61.4303,59.1467,57.9908,60.4198,65.5792,65.5912,2685.657,2.685657,2.685631057,2.685069
748,3113.8,222.0881,222,0.09,104.3518,0.1061,3.5937,64.9189,62.3176,61.0511,63.6771,69.5784,69.5195,2690.0195,2.6900195,2.695564837,2.706384
749,3113.9,222.5662,222,0.57,101.9276,0.1053,3.6653,68.3258,65.4163,64.0238,66.8764,73.5538,73.4054,2694.0537,2.6940537,2.704056954,2.6996808
750,3114,222.4529,222,0.45,101.6348,0.1048,3.7077,73.2409,69.8685,68.2798,71.486,79.3825,79.0849,2691.4814,2.6914814,2.711401478,2.6967628
751,3114.1,222.3838,222,0.38,100.4715,0.1035,3.7057,79.6145,75.6,73.7356,77.4336,87.0809,86.5637,2690.032,2.690032,2.713874574,2.6990223
752,3114.2,222.0052,222,0.01,95.6191,0.1032,3.5812,94.5958,88.8729,86.264,91.2334,105.7399,104.61,2685.74,2.68574,2.677273101,2.6719072
753,3114.3,222.0103,222,0.01,93.5618,0.1016,3.5308,101.4963,94.8931,91.8854,97.4851,114.5817,113.1179,2685.793,2.685793,2.671607642,2.6841497
754,3114.4,222.2585,222,0.26,94.1825,0.0994,3.505,106.932,99.5985,96.2366,102.3473,121.6266,119.8716,2684.8796,2.6848796,2.674055052,2.6921842
755,3114.5,222.0242,222,0.02,96.0056,0.0951,3.539,111.9984,103.9895,100.1809,106.7636,128.1486,126.0746,2683.1082,2.6831082,2.69209302,2.6889074
756,3114.6,222.114,222,0.11,95.053,0.0945,3.5543,111.6084,103.7054,99.8331,106.363,127.4132,125.3416,2683.4929,2.6834929,2.695217681,2.6876826
757,3114.7,222.3433,222,0.34,94.729,0.0934,3.5527,109.5935,102.0428,98.207,104.5246,124.481,122.5203,2685.9124,2.6859124,2.69458277,2.6907864
758,3114.8,222.3327,222,0.33,98.4181,0.0937,3.532,102.6001,96.1414,92.5785,98.1977,114.8564,113.3683,2695.5002,2.6955002,2.689908108,2.6870196
759,3114.9,222.3923,222,0.39,101.1664,0.0952,3.5316,98.8012,92.8928,89.4979,94.7521,109.778,108.5414,2698.5999,2.6985999,2.690536396,2.6967473
760,3115,222.5301,222,0.53,103.4305,0.0952,3.5498,95.4505,90.0058,86.7614,91.6999,105.3913,104.3486,2700.0454,2.7000454,2.698722156,2.6950665
761,3115.1,221.9626,222,-0.04,104.3636,0.0952,3.5862,90.8145,85.97,82.9285,87.432,99.4966,98.6657,2698.2544,2.6982544,2.706096723,2.701471
762,3115.2,221.9416,222,-0.06,103.9771,0.0973,3.5989,89.2533,84.5875,81.6134,85.9646,97.5895,96.808,2699.9402,2.6999402,2.705933088,2.691341
763,3115.3,221.9359,222,-0.06,102.8411,0.0999,3.6005,87.7659,83.2503,80.3455,84.5475,95.8204,95.0703,2704.5054,2.7045054,2.702554884,2.6904535
764,3115.4,222.0361,222,0.04,102.2243,0.098,3.5957,84.7165,80.461,77.7118,81.6021,92.2648,91.5385,2715.1187,2.7151187,2.705016789,2.7110286
765,3115.5,222.1449,222,0.14,101.8144,0.0971,3.6102,83.8409,79.6337,76.9285,80.715,91.261,90.5312,2715.5361,2.7155361,2.708872239,2.7113316
766,3115.6,222.2573,222,0.26,100.8853,0.0972,3.6424,84.1239,79.8409,77.1148,80.8904,91.6296,90.8902,2711.8093,2.7118093,2.713627674,2.7090425
767,3115.7,222.2013,222,0.2,98.7148,0.1017,3.6943,85.7836,81.2756,78.4491,82.3233,93.6606,92.9006,2705.9226,2.7059226,2.710393818,2.6952925
768,3115.8,222.3479,222,0.35,93.7258,0.097,3.7046,90.4481,85.3178,82.2041,86.3818,99.522,98.6673,2681.9929,2.6819929,2.71361504,2.6923602
769,3115.9,222.3268,222,0.33,92.8162,0.0918,3.6545,90.7516,85.5351,82.3993,86.5629,100.0567,99.1586,2674.1003,2.6741003,2.711009278,2.6763415
770,3116,222.4667,222,0.47,94.2333,0.0903,3.5928,88.6383,83.62,80.6103,84.5687,97.615,96.7284,2668.5569,2.6685569,2.704714239,2.6694124
771,3116.1,222.4963,222,0.5,100.6472,0.0914,3.5413,80.4134,76.2391,73.7107,76.9946,87.7702,87.0705,2674.7954,2.6747954,2.703662909,2.6935885
772,3116.2,222.5411,222,0.54,104.8554,0.0955,3.5508,76.7059,72.8999,70.5822,73.5894,83.3465,82.7504,2678.4377,2.6784377,2.708283893,2.7009714
773,3116.3,222.5019,222,0.5,107.5529,0.0979,3.5518,74.1158,70.5609,68.3905,71.2147,80.2863,79.7616,2683.3511,2.6833511,2.708304369,2.6861954
774,3116.4,222.1,222,0.1,106.8854,0.0976,3.5046,71.467,68.1666,66.1602,68.817,77.2062,76.7398,2682.4746,2.6824746,2.702110146,2.6851275
775,3116.5,222.1752,222,0.18,106.3506,0.0972,3.4833,70.594,67.3782,65.4345,68.0465,76.1807,75.7257,2679.6628,2.6796628,2.700158887,2.6817198
